ISIN,Name,Country,Region,Reason
AT000000STR1,STRABAG SE,AT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
AT00000VIE62,FLUGHAFEN WIEN,AT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
AT0000746409,VERBUND,AT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
AT0000938204,MAYR-MELNHOF KARTON,AT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
AT0000A21KS2,IMMOFINANZ,AT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
BE0974271034,VIOHALCO,BE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
BE0974320526,UMICORE,BE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
BE0974338700,TITAN CEMENT,BE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
CH0012268360,KUDELSKI 'B',CH,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
CH0418792922,SIKA,CH,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
CH1169151003,GEORG FISCHER,CH,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
CH1175448666,STRAUMANN HLDG.,CH,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
CH1216478797,DSM FIRMENICH,CH,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data; DS_REV_USD_Y.xlsx: >20% missing data
CH1256740924,SGS 'N',CH,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
DE0005408884,LEONI DEAD - DELIST.21/08/23,DE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
DE0006569908,MLP,DE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
DE0007042301,RHOEN-KLINIKUM,DE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
DE0007507501,WASHTEC,DE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
DE000A2GS401,SOFTWARE N DEAD - DELIST.26/08/24,DE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
DE000CLS1001,MCKESSON EUROPE DEAD - DELIST.15/06/23,DE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
