NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,,12132.97,21115.2,20715.84,2883.15,6965.75,11636.82,6967.13,7298.16,10560.82,4398.93,3851.19,6539.83,12836.48,8324.3,7291.05,6715.83,6310.85,5336.37,6774.94
ERSTE GROUP BANK,AT0000652011,2091.69,1858.42,2560.91,2846.67,3962.98,8355.7,12929.31,18591.11,24125.32,18705.63,3132.56,14256.8,19551.46,9732.67,11915.39,17093.39,11289.53,11315.83,12673.81,20337.12,15182.52,15392.09,14237.31,17081.51,15585.33,18156.99
TELEKOM AUSTRIA,AT0000720008,,,985.43,1413.97,5163.74,7283.92,9760.38,11679.17,13222.45,11808.85,5835.81,5822.16,6321.79,5248.42,2785.05,4480.27,4679.34,3782.91,4173.15,6099.09,5041.83,5198.42,5073.45,5514.98,4945.28,5559.59
ANDRITZ,AT0000730007,,,,222.5,297.41,612.06,1134.42,1728.91,2944.76,2969.31,1591.24,2959.34,4330.83,5263.87,7037.23,6246.14,6064.11,4919.99,5417.33,6120.94,5315.73,3640.85,5014.19,4792.9,6314.62,6889.89
OMV,AT0000743059,2489.92,2273.91,2144.25,2403.0,2862.72,4439.65,10208.83,19797.63,17266.56,21608.64,7925.58,11136.4,12886.67,12711.52,14071.73,15314.83,9297.38,8503.83,12485.14,19334.09,17173.88,14053.05,15834.52,16952.23,16252.26,14326.46
WIENERBERGER,AT0000831706,1715.66,1332.5,1483.54,1094.01,1106.0,1994.37,3755.5,3465.75,4688.51,4097.73,703.23,2014.57,2422.83,1459.32,1155.39,2136.28,1855.54,2080.4,2280.59,2878.02,2706.57,3206.49,3870.18,3554.55,3498.05,3896.89
VIENNA INSURANCE GROUP A,AT0000908504,157.47,145.36,141.84,132.18,160.71,286.7,429.89,6648.76,7882.11,8852.17,3128.62,6182.23,7359.24,5729.86,6390.48,6478.75,5567.49,2986.78,3035.1,4255.86,3093.84,3198.76,3456.99,3541.1,3433.91,3736.42
VOESTALPINE,AT0000937503,1016.59,1065.95,951.64,905.7,949.99,1839.35,3386.67,4559.15,10726.69,10924.2,2602.37,5973.1,7645.07,6147.23,5736.37,7797.6,6775.71,4969.29,7350.9,10409.4,5495.96,4011.92,7117.36,5823.03,6391.7,4890.35
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,897.2,899.26,822.7,1348.68,1800.09,2347.27,2159.04,2956.87,3658.62,2661.45,918.74,2894.83,2907.35,3541.47,4209.79,5449.6,5171.11,5627.13,6518.17,7981.72,5765.33,8454.04,12554.95,14363.23,9413.79,16719.15
SOLVAY,BE0003470755,5782.42,5988.1,4479.3,5573.16,4911.8,7134.15,9576.66,9354.0,12580.56,11242.58,4835.54,8118.33,9755.93,10377.03,12102.73,13034.58,12313.79,9775.69,12527.32,15110.06,12290.38,10224.58,12992.92,12091.23,11824.69,2697.67
KBC GROUP,BE0003565737,22793.22,12075.85,13244.07,9003.24,8766.85,17478.6,25224.3,38664.5,46413.59,45042.12,3849.35,16214.61,15015.37,8294.34,14156.58,25719.61,25597.0,22199.93,25195.94,38822.01,29004.01,29570.67,30155.58,31954.92,30351.39,28981.97
COFINIMMO,BE0003593044,816.51,669.52,614.0,621.33,817.68,1301.32,1534.74,1568.94,2025.48,2199.74,1402.22,1726.13,1880.83,1817.33,1922.08,2010.69,2155.26,2249.67,2269.69,2656.24,2901.64,4291.56,4217.75,4284.45,2990.91,2413.73
SOFINA,BE0003717312,1722.13,1313.87,1535.37,1461.5,1163.48,2037.34,2845.94,3452.77,4213.31,4019.62,2278.07,3097.33,3273.86,2829.86,3189.08,4227.77,3754.75,3517.89,4622.62,5883.25,6714.57,7777.69,11411.97,13296.11,8246.09,7931.37
ORANGE BELGIUM,BE0003735496,4900.8,2812.38,1503.05,925.0,1570.62,4158.16,5607.94,4506.06,5459.51,5484.69,3738.39,3557.13,3797.0,2915.17,1418.1,1129.43,1394.36,1258.74,1379.91,1110.53,1224.27,1182.87,1660.92,1270.19,1027.38,806.61
UCB,BE0003739530,7578.05,5128.09,5323.47,5957.7,3329.21,5408.16,7150.68,6937.02,11899.81,8865.79,5462.63,8133.07,6817.77,7561.45,10125.44,14063.55,15182.17,15096.19,13635.74,15921.58,17095.34,19379.63,19463.82,20985.78,16771.68,20397.75
AGFA-GEVAERT,BE0003755692,,2474.88,2987.81,1704.07,2976.3,4059.87,4491.71,2615.93,3192.87,1642.86,327.69,1138.08,789.11,337.79,336.99,486.17,421.05,634.69,688.56,855.6,658.2,780.5,775.98,652.52,457.78,176.07
