NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RAIFFEISEN BANK INTL.,AT0000606306,,,,,1401165.0,2187083.0,3063455.0,3625903.0,6233959.0,9266907.0,10910965.0,10284420.0,12976076.0,12973198.0,13051256.0,11542265.0,8685177.0,7787607.0,6886678.0,8719097.0,8551016.0,8547916.0,8686445.0,8710116.0,13677850.0,16046061.0
ERSTE GROUP BANK,AT0000652011,3798881.0,3234567.0,3968691.0,4630331.0,7729897.0,8544454.0,9123401.0,9316336.0,14587097.0,20437563.0,18707585.0,18138330.0,16106386.0,15793654.0,16425993.0,13896123.0,10404581.0,10405710.0,9414287.0,10521777.0,11062628.0,11061612.0,11212186.0,11127545.0,15186926.0,24866232.0
TELEKOM AUSTRIA,AT0000720008,3821392.0,3641376.0,2624838.0,2312566.0,3374304.0,5046696.0,5204697.0,5217405.0,6195569.0,7134305.0,6645289.0,6564762.0,6298624.0,5898836.0,5797264.0,5698080.0,4558340.0,4487217.0,4408514.0,5261344.0,4932388.0,4900212.0,5368088.0,5340506.0,5256454.0,5550113.0
ANDRITZ,AT0000730007,751625.0,641429.0,1036539.0,1146606.0,1201338.0,1557315.0,1900753.0,2084806.0,3527226.0,4760814.0,4639606.0,4371306.0,4812884.0,6086034.0,6931593.0,7777447.0,6647282.0,7106765.0,6454299.0,7239784.0,6849266.0,7317316.0,8056650.0,7397304.0,8065248.0,9316096.0
OMV,AT0000743059,5327857.0,5066432.0,6952384.0,6726760.0,7661181.0,9718275.0,12677565.0,18621074.0,24693925.0,29068317.0,32829300.0,24494588.0,31586869.0,45093389.0,57105264.0,57764169.0,40742941.0,25104056.0,20584588.0,24860203.0,26039102.0,25722839.0,19902363.0,40694899.0,66612153.0,42452784.0
WIENERBERGER,AT0000831706,1290512.0,1308431.0,1557810.0,1343245.0,1789574.0,2322515.0,2256819.0,2336131.0,2896358.0,3593052.0,3125006.0,2483851.0,2362913.0,2679800.0,3153967.0,3626636.0,3215680.0,3312390.0,3178351.0,3835256.0,3753218.0,3800462.0,4034106.0,4545407.0,5321372.0,4544383.0
VIENNA INSURANCE GROUP A,AT0000908504,1895913.0,2697174.0,2820326.0,2753477.0,3685380.0,4644692.0,5325953.0,5999727.0,7770598.0,10461512.0,11152727.0,11944371.0,12652794.0,12711734.0,14080461.0,13515821.0,11018579.0,10609916.0,10149835.0,12257598.0,11514901.0,11842276.0,12557975.0,12266681.0,13115012.0,12042713.0
VOESTALPINE,AT0000937503,2842280.0,2525733.0,2529033.0,2752913.0,4386938.0,5875258.0,6971088.0,7727060.0,9090755.0,13574569.0,15720345.0,11716406.0,13897121.0,15750485.0,15844486.0,15329439.0,12551241.0,12609405.0,11531538.0,15556006.0,15201021.0,14458667.0,13364166.0,16242707.0,18832384.0,18317532.0
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,,,469564.0,517664.0,659952.0,1064862.0,1190999.0,1379821.0,1616835.0,1594463.0,1104155.0,1046363.0,1184426.0,1152538.0,1353450.0,1478417.0,1395389.0,1721465.0,1804070.0,2185021.0,2326263.0,2509854.0,2908932.0,3351740.0,3890871.0,3827343.0
SOLVAY,BE0003470755,8410407.0,7697726.0,8266046.0,7586359.0,8568694.0,9607124.0,10107173.0,10233424.0,12234776.0,13882917.0,12197274.0,7784233.0,9203804.0,10737974.0,17180090.0,14118717.0,12058495.0,12310760.0,12187230.0,13389006.0,12831043.0,12309378.0,11681665.0,13086921.0,17183921.0,6480388.0
