NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,,184.61,378.42,292.59,47.44,118.63,156.15,102.22,112.37,122.61,39.82,39.67,70.42,138.08,82.03,83.06,69.21,108.36,61.58,78.47
ERSTE GROUP BANK,AT0000652011,106.37,97.02,125.72,133.71,176.33,349.21,512.99,604.29,840.99,546.35,154.88,424.12,631.79,319.73,378.2,496.07,303.2,369.42,408.82,693.58,504.05,572.78,477.99,762.77,614.12,724.25
TELEKOM AUSTRIA,AT0000720008,,,67.36,95.55,130.94,176.51,238.61,304.75,351.73,360.42,195.34,199.61,230.31,209.18,127.04,165.66,134.59,112.9,127.76,205.41,161.82,184.78,181.2,221.82,179.9,270.3
ANDRITZ,AT0000730007,,,,83.22,112.72,253.27,446.73,629.53,1208.91,1004.96,741.46,1311.97,2075.76,2426.05,3366.5,2979.55,2971.59,2534.8,2994.18,3306.47,2954.29,2428.96,3093.92,3485.3,4028.99,4242.91
OMV,AT0000743059,345.83,377.18,329.43,372.04,470.43,759.75,1469.7,3350.46,2720.73,3497.12,1487.18,2092.06,2521.66,2116.21,2487.91,2801.13,1756.07,1835.98,2543.55,4457.25,3985.16,3860.26,3677.49,5582.16,4374.35,4465.06
WIENERBERGER,AT0000831706,2870.68,2203.88,2482.88,1928.03,2225.28,4376.13,6708.36,6201.31,9333.26,6581.92,2094.76,2990.0,3869.1,2177.33,1815.21,2964.06,2639.34,2962.02,3584.22,4695.26,4420.6,5867.57,7140.34,7392.52,6338.16,7569.19
VIENNA INSURANCE GROUP A,AT0000908504,172.4,162.44,159.89,150.87,189.84,294.12,499.97,716.63,852.26,931.74,351.87,578.92,755.18,625.81,708.54,706.11,645.64,383.87,390.53,559.55,411.49,490.57,501.06,589.08,551.82,609.1
VOESTALPINE,AT0000937503,143.6,146.2,140.73,143.17,129.16,270.5,438.5,690.28,1447.81,1449.54,615.19,952.13,1359.15,1077.96,1079.51,1413.52,1195.94,907.11,1484.44,2159.58,1056.38,968.44,1461.01,1344.82,1397.1,1223.0
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,1002.65,965.35,1015.34,1674.92,2385.6,3306.33,3440.16,4291.85,5107.14,3685.68,1679.07,4779.27,4688.96,5823.57,7569.09,9194.74,8535.01,9466.61,12245.88,15296.58,10622.61,18954.82,27292.45,31530.95,22005.03,37285.16
SOLVAY,BE0003470755,3755.0,3899.72,3307.51,3807.14,3830.88,5167.02,7071.08,7279.27,10650.96,8069.95,5146.3,6933.47,7885.63,8043.77,12054.11,11614.04,11203.91,7535.11,10615.55,12931.28,10224.3,10561.2,11602.33,12890.96,12520.57,10746.12
KBC GROUP,BE0003565737,6141.37,3245.76,3455.72,2352.6,2442.34,4577.02,6921.68,9042.07,11591.46,11246.55,1687.77,3853.84,3945.67,2208.87,3587.0,6106.46,5527.0,5559.26,6593.05,10011.46,7316.14,8866.41,8354.37,10547.04,9514.71,8351.39
