NAME,ISIN,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RAIFFEISEN BANK INTL.,AT0000606306,327.0,327.0,164.0,25801.0,26621.0,26283.0,49708.0,46427.0,41064.0,35111.0,35111.0
ERSTE GROUP BANK,AT0000652011,80456.0,80456.0,115063.0,54377.0,48635.0,34211.0,34884.0,32562.0,22884.0,18686.0,13153.0
TELEKOM AUSTRIA,AT0000720008,195246.0,195246.0,176186.0,178038.0,190621.0,217310.0,193222.0,226294.0,176340.0,176340.0,115241.0
ANDRITZ,AT0000730007,192698.0,192698.0,177491.0,140336.0,139209.0,169143.0,75411.0,108149.0,108149.0,80021.0,81035.0
OMV,AT0000743059,665149.0,300000.0,400000.0,400000.0,300000.0,286079.0,400000.0,300000.0,1100000.0,900000.0,800000.0
WIENERBERGER,AT0000831706,165229.0,682328.0,58281.0,409163.0,612763.0,506634.0,506634.0,481318.0,176000.0,155200.0,78600.0
VIENNA INSURANCE GROUP A,AT0000908504,17996.0,17996.0,10640.0,18011.0,20308.0,20489.0,20285.0,15022.0,15022.0,14136.0,14471.0
VOESTALPINE,AT0000937503,1573688.0,1355617.0,1042266.0,1091733.0,969674.0,1085097.0,904063.0,904063.0,731129.0,650000.0,530000.0
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,925154.0,925154.0,496414.0,195157.0,267208.0,291307.0,273004.0,245239.0,292542.0,280630.0,280630.0
SOLVAY,BE0003470755,3586474.0,3000000.0,2800000.0,3333134.0,2100000.0,2000000.0,1500000.0,1400000.0,1600000.0,1500000.0,700000.0
KBC GROUP,BE0003565737,0.0,0.0,53758.0,63475.0,59766.0,52879.0,59966.0,42844.0,34632.0,35461.0,35152.0
COFINIMMO,BE0003593044,226.0,226.0,228.0,230.0,226.0,79.0,7059.0,5888.0,4255.0,4255.0,4875.0
SOFINA,BE0003717312,,,14172.0,974.0,825.0,1661.0,2719.0,3106.0,34920.0,12.0,19.0
ORANGE BELGIUM,BE0003735496,50175.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
UCB,BE0003739530,39350.0,31367.0,28108.0,28108.0,5888.0,5818.0,3655.0,3167.0,5450.0,5450.0,1619.0
AGFA-GEVAERT,BE0003755692,109736.0,109736.0,86917.0,75291.0,76597.0,78024.0,78024.0,78024.0,55196.0,45900.0,45900.0
GBL NEW,BE0003797140,864202.0,864202.0,228920.0,241758.0,192468.0,345521.0,252524.0,213980.0,40.0,50.0,5.0
PROXIMUS,BE0003810273,4067.0,0.0,5175.0,3024.0,3002.0,3000.0,900.0,800.0,0.0,0.0,0.0
ELIA GROUP,BE0003822393,520553.0,1669552.0,126204.0,261899.0,306512.0,306512.0,663168.6952955716,1018654.0,1092150.0,1202908.0,928900.74
COLRUYT GROUP,BE0974256852,83697.0,83697.0,69293.0,67436.0,67127.0,308660.0,291897.0,278136.0,256209.0,31634.0,31634.0
BEKAERT (D),BE0974258874,916502.0,916502.0,448942.0,116911.0,134104.0,171907.0,1411744.0,1411744.0,1392381.0,1289630.0,1289630.0
AGEAS (EX-FORTIS),BE0974264930,21598.0,21598.0,15646.0,19884.0,26144.0,28031.0,26499.0,26499.0,52996.0,479.0,763.4698952269
ANHEUSER-BUSCH INBEV,BE0974293251,,,1821423.0,1684800.0,2472000.0,2472000.0,1768800.0,1318800.0,1424430.0,1316831.0,1934637.66
STOLT-NIELSEN,BMG850801025,88405.0,88405.0,7674.0,13367.0,13092.0,16191.0,16763.0,15092.0,12724.0,249270.0,254093.0
OC OERLIKON CORPORATION,CH0000816824,79054.0,79054.0,3591.0,37732.0,31092.0,44421.0,51397.0,52273.0,132604.0,128100.0,128100.0
SWISS PRIME SITE,CH0008038389,77100.0,77100.0,20000.0,21500.0,23020.0,23020.0,22840.0,18258.0,18258.0,20399.0,14579.57
SWISSCOM 'R',CH0008742519,948.0,794.0,794.0,0.0,826.0,1052.0,0.0,0.0,0.0,885.0,885.0
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,CH0010570759,126393.0,132600.0,139849.0,71900.0,71900.0,71040.0,69394.0,63970.0,63970.0,93847.0,105870.0
GIVAUDAN 'N',CH0010645932,113247.0,113247.0,104455.0,86019.0,67370.0,53896.0,51446.0,34492.0,31090.0,25748.0,25748.0
ZURICH INSURANCE GROUP,CH0011075394,94036.0,94036.0,105507.0,61154.0,91375.0,49934.0,24851.0,28158.0,24767.0,24767.0,23709.0
BASILEA PHARMACEUTICA 'R',CH0011432447,674.0,674.0,471.0,1261.0,1303.0,2051.0,2913.0,2990.0,3726.0,6126.0,6672.0
NOVARTIS 'R',CH0012005267,968172.0,930300.0,819900.0,821400.0,728500.0,576460.0,412500.0,392200.0,310400.0,154900.0,49400.0
ROCHE HOLDING,CH0012032048,418214.0,376159.0,317183.0,403924.0,343711.0,334155.0,453592.0,531392.0,168735.0,412408.0,412408.0
CREDIT SUISSE GROUP DEAD - DELIST.14/06/23,CH0012138530,138161.0,138161.0,110320.0,107040.0,52820.0,42700.0,19500.0,10170.0,10170.0,10170.0,10170.0
ADECCO GROUP,CH0012138605,55285.0,33379.0,33379.0,33184.0,29680.0,34407.0,33362.0,27126.0,27126.0,20125.0,28468.05
CLARIANT,CH0012142631,493024.0,493024.0,536924.0,449008.0,488087.0,510000.0,460000.0,410000.0,404985.0,210000.0,210000.0
HOLCIM,CH0012214059,6407449.0,6407449.0,16000000.0,15179845.0,10000000.0,8000000.0,8000000.0,7000000.0,7000000.0,5000000.0,5000000.0
ABB LTD N,CH0012221716,913000.0,866000.0,714000.0,714000.0,634000.0,627000.0,602000.0,335270.0,214000.0,68000.0,23000.0
THE SWATCH GROUP,CH0012255151,97646.0,97646.0,76146.0,101964.0,82136.0,94894.0,79220.0,73648.0,60021.0,31204.0,31204.0
BALOISE HOLDING,CH0012410517,16185.0,16185.0,11219.0,10877.0,10984.0,10237.0,9390.0,9390.0,8710.0,729.0,631.9
SONOVA N,CH0012549785,18158.0,16804.0,20866.0,23202.0,22207.0,20867.0,17974.0,13716.0,13716.0,232.0,739.0
LONZA GROUP,CH0013841017,288726.0,293000.0,293000.0,296400.0,252000.0,348000.0,289000.0,301000.0,301000.0,230000.0,230000.0
VALIANT 'R',CH0014786500,297.0,297.0,600.0,637.0,586.0,586.0,631.0,614.0,614.0,315.0,315.0
SWISS LIFE HOLDING,CH0014852781,8611.0,8611.0,6420.0,10524.0,10524.0,10048.0,12372.0,12372.0,516.0,414.0,414.0
PSP SWISS PROPERTY AG,CH0018294154,4379.0,4379.0,4197.0,4197.0,633.0,1989.0,2400.0,2033.0,2541.0,2541.0,2732.0
EFG INTERNATIONAL N,CH0022268228,3722.0,3722.0,2999.0,1839.0,2253.0,4328.0,4340.0,3378.0,3322.0,2556.0,2556.0
PARTNERS GROUP HOLDING,CH0024608827,38.0,38.0,46.0,37.0,52.0,3395.0,1172.0,1364.0,1213.0,1335.0,1726.0
SCHINDLER 'R',CH0024638212,191953.0,168929.0,36000.0,55000.0,55000.0,47000.0,58271.0,42794.0,42794.0,51158.0,54709.0
KUEHNE UND NAGEL INTERNATIONAL,CH0025238863,150163.0,150163.0,134176.0,131485.0,135093.0,137355.0,119307.0,201500.0,120000.0,38000.0,122000.0
LOGITECH 'R',CH0025751329,8399.0,14153.0,14227.0,14227.0,14830.0,17046.0,16724.0,16724.0,15703.0,15930.0,15278.8
GEBERIT 'R',CH0030170408,,54529.0,114171.0,114171.0,114772.0,112037.0,107615.0,99150.0,102617.0,46809.0,46809.0
SULZER 'R',CH0038388911,123830.0,123830.0,66290.0,66290.0,71213.0,79294.0,56214.0,59794.0,58868.0,58868.0,41437.0
NESTLE 'N',CH0038863350,3814017.0,3814017.0,3700000.0,3500000.0,3000000.0,2500000.0,2300000.0,1900000.0,1610000.0,760000.0,310000.0
CHUBB,CH0044328745,40702.0,41747.0,39601.0,70878.0,56061.0,47190.0,44293.0,38827.0,31340.0,31340.0,37698.0
TRANSOCEAN,CH0048265513,6479.0,6479.0,4483.0,5139.0,2033.0,1475.0,1475.0,3172.0,4685.0,2288.0,2072.0
GARMIN,CH0114405324,49202.0,40759.0,50225.0,57972.0,65202.0,65174.6568,69718.0,78415.0,78415.0,78639.0,83409.98
SWISS RE,CH0126881561,,9440.0,11656.0,19500.0,25000.0,19700.0,23126.0,11327.0,11327.0,7868.0,7868.0
RICHEMONT N,CH0210483332,56849.0,65500.0,57300.0,62800.0,67040.0,58500.0,68268.0,67258.0,67258.0,56500.0,56500.0
UBS GROUP,CH0244767585,,138691.0,179082.0,179082.0,161349.0,150957.0,142636.0,136524.0,124756.0,110470.0,110470.0
FLUGHAFEN ZURICH,CH0319416936,,,1582.0,1582.0,1534.0,1610.0,1632.0,1212.0,19.0,19.0,1330.0
UNITED INTERNET,DE0005089031,199637.0,199637.0,108682.0,86944.0,59809.0,18905.0,18821.0,13880.0,13119.0,13119.0,24363.0
DEUTSCHE BANK,DE0005140008,436220.0,436220.0,140189.0,231352.0,379979.0,336499.0,356086.0,207288.0,207288.0,253727.0,118323.0
BMW,DE0005190003,922843.0,922843.0,923313.0,868089.0,510911.0,538622.0,302574.0,84257.0,134849.0,91300.0,110141.0
BEIERSDORF,DE0005200000,64787.0,64787.0,65326.0,39298.0,58382.0,58640.0,83133.0,86818.0,87606.0,91689.0,102740.87
CONTINENTAL,DE0005439004,1857385.0,1958000.0,2089000.0,2252000.0,2347000.0,2400000.0,2380000.0,2217902.0,1845138.0,1951500.0,1460000.0
LANXESS,DE0005470405,2899000.0,2886000.0,3075000.0,3315000.0,3298000.0,1962000.0,1989000.0,1645000.0,1562000.0,1562000.0,1151000.0
DEUTSCHE POST,DE0005552004,490000.0,440000.0,450000.0,370000.0,440000.0,270000.0,210000.0,190000.0,190000.0,70000.0,50000.0
DEUTSCHE TELEKOM,DE0005557508,3659532.0,3659532.0,3750437.0,3406027.0,3406027.0,3476569.0,3476569.0,4815423.0,4815423.0,4232913.0,3979565.0
