Year,mv_cf,mvc_cf,vw_cf,vwc_cf,nz_cf
2014,71.97203180686553,,235.7911637979582,,
2015,2119.970756249396,,181.04027319437773,,
2016,527.9489923543127,263.9744961771292,174.9000750088845,131.17498868200553,171.89175806841996
2017,1132.2413775316813,566.1206887658421,209.72270929310804,157.29201192923762,154.70258209337922
2018,447.6352778974346,223.8176389487173,188.70147073543205,141.52610314439636,139.23230683465385
2019,202.97914709901727,101.48957354950866,155.07060385771447,116.30294889174735,125.30907536387407
2020,68.16082279889726,34.0804113994486,149.84527287281912,112.3839093361082,112.77818130750329
2021,30.598313561572585,15.299156780786264,144.91612594358273,108.68709237028193,101.50036440335363
2022,28.59860215836239,14.299301079181202,118.135553545418,88.60166427049526,91.35032803427556
2023,24.605795930734196,12.302897965367114,108.73902894178235,81.55427069197455,82.2152942888739
