Year,mv_cf,mvc_cf,vw_cf,vwc_cf,nz_cf
2014,89.0171029344365,196.73230038883383,308.15716391351384,276.2657610672519,282.14988165567496
2015,547.4122781345025,263.183391318792,259.19011359278073,202.47617489743996,203.6367678592733
2016,40.956581861438465,21.69620153432615,339.5935881659686,349.57513646198106,338.72211302504803
2017,837.5110926058048,922.077781979159,945.0132663626528,548.557275850008,551.4455378310909
2018,28.37612387895179,37.57854443523019,558.0925837089529,466.43127413391267,454.7243845632565
2019,24.407651587753268,47.078428779681914,359.92359290937947,261.48279259622365,258.7166168982762
2020,32.81131115295157,38.94640183165873,270.5229836883134,231.2641335210195,233.85698174781632
2021,67.21261185689048,67.21673186845663,271.4918567139143,217.31614450210006,216.79976061224014
2022,74.4424079602975,74.48681216246538,186.46827975577997,146.39207522581185,145.1804490221926
2023,36.09709580848561,41.300719916083146,169.21010041894746,134.41362126722967,134.0156417381133
